Author,Title,Year,Themes
Madeleine de Scudéry,Artamène,1691,"Décadence, Société et politique, Mœurs"
Paul Scarron,Conférence de Svr Rvel sur Mars,1649,"Fiction historique, Poésie"
Jean de La Fontaine,Fables,1678,"Contes, Mythes et légendes, Poésie, Décadence, Arts et Culture"
Jean de La Fontaine,Contes et nouvelles en vers,1685,"Décadence, Mythes et légendes"
Charles Sorel,De la connoissance des bons livres,1671,"Critique, Fiction historique"
Marie-Catherine d'Aulnoy,Relation du voyage d'Espagne,1691,"Coutumes, Fiction historique, Voyages"
Marie-Catherine d'Aulnoy,Le Prince de Carency,1719,Décadence
Montesquieu,De l'esprit des lois,1748,"Critique, Société et politique, Philosophie"
Montesquieu,Lettres persanes,1721,"Décadence, Voyages"
Montesquieu,"L'esprit des lois, y compris l'analyse de l'ouvrage par d'Alembert",1900,"Critique, Société et politique, Philosophie"
Montesquieu,Une vue de la constitution anglaise,1781,"Critique, Société et politique, Philosophie"
Voltaire,Candide,1746,"Justice, Satire, Vie sociale et mœurs, Fiction historique, Pouvoir, Lettres imaginaires, Arts et Culture, Coutumes, Éducation et Conduite de la vie, Critique, Décadence, Passion, Romans, Société et politique"
Voltaire,Lettres philosophiques,1733,"Critique, Religion, Voyages"
Voltaire,Dictionnaire philosophique,1766,Critique
Voltaire,Lettres choisies,1802,"Critique, Liberté, Société et politique"
Jean-Jacques Rousseau,Du contrat social,1762,"Pouvoir, Philosophie, Critique, Décadence, Liberté, Société et politique"
Jean-Jacques Rousseau,Les confessions,1782,"Critique, Décadence"
Jean-Jacques Rousseau,Emile ou l'éducation,1762,"Critique, Décadence, Fiction historique, Éducation"
Jean-Jacques Rousseau,La nouvelle Héloïse,1761,"Critique, Décadence"
Jean-Jacques Rousseau,Les rêveries du promeneur solitaire,1782,Critique
Denis Diderot,La religieuse,1758,"Décadence, Religion"
Denis Diderot,Pensées philosophiques,1746,"Critique, Religion"
Denis Diderot,Religieuse,1797,"Décadence, Passion, Religion"
Louis-Sébastien Mercier,An deux mille quatre cent quarante,1772,Décadence
Louis-Sébastien Mercier,Le nouveau Paris,1798,"Passion, Fiction historique, Pouvoir"
Louis-Sébastien Mercier,Du théâtre,1773,Drame
Bernardin de Saint-Pierre,Etudes sur la nature,1796,"Nature, Religion"
Bernardin de Saint-Pierre,Voyage à l'île de France,1775,Voyages
Choderlos de Laclos,Les Liaisons dangereuses,1782,"Décadence, Passion, Coutumes"
Restif de la Bretonne,Le pornographe,1769,Société et politique
Restif de la Bretonne,"Le pornographe, ou idées d'un honnête-homme sur un projet de règlement pour les prostituées, propre à prévenir les malheurs qu'occasionne le publicisme des femmes. Avec des notes historiques et justificatives",1770,Société et politique
Restif de la Bretonne,"Les nuits de Paris, ou, Le spectateur-nocturne",1788,"Mœurs, Fiction historique, Décadence, Passion, Société et politique"
Gabriel Sénac de Meilhan,Considérations sur les richesses et le luxe ..,1787,"Argent, Fiction historique, Ambitions"
Gabriel Sénac de Meilhan,Des principes et des causes de la révolution en France,1790,"Fiction historique, Pouvoir"
Abbé Prévost,Manon Lescaut,1787,"Décadence, Arts et Culture, Fiction historique, Voyages"
Abbé Prévost,"Histoire générale des voyages ou Nouvelle collection de toutes les relations de voyages par mer et par terre, qui ont été publiées jusqu'à présent dans les différentes langues de toutes les nations connues",1746,Voyages
Jean-François Marmontel,Les Incas,1777,Décadence
Pierre Choderlos de Laclos,Les Liaisons dangereuses,1782,"Décadence, Passion, Coutumes"
Jean-Baptiste Louvet de Couvray,Accusation contre Maximilien Robespierre,1792,"Fiction historique, Pouvoir"
Jean-Baptiste Louvet de Couvray,"Quelques notices pour l'histoire, et le récit de mes périls depuis le 31 mai, 1793",1795,"Fiction historique, Histoire"
Jean-Baptiste Louvet de Couvray,Accusation intentée dans la convention nationale contre Maximilien Robespierre,1792,Fiction historique
Jean-Baptiste Louvet de Couvray,"A la Convention nationale, et a mes commettans, sur la conspiration du 10 mars et la faction d'Orle ans",1793,Fiction historique
Jean-Baptiste Louvet de Couvray,"A Maximilien Robespierre, et a ses royalistes",1794,"Fiction historique, Pouvoir"
Jean-Baptiste de Boyer d'Argens,"Lettres juives, ou, Correspondance philosophique, historique & critique",1738,Passion
Jean-Baptiste de Boyer d'Argens,"Lectures amusantes, ou, Les délassements de l'esprit",1739,"Critique, Décadence"
Honoré de Balzac,La père Goriot,1800,Décadence
Honoré de Balzac,Eugénie Grandet,1868,"Décadence, Mœurs"
Honoré de Balzac,Les contes drôlatiques,1855,Décadence
Honoré de Balzac,Illusions perdues,1837,"Mœurs, Biographie, Esthétique, Coutumes, Décadence"
Honoré de Balzac,La Cousine Bette,1888,"Décadence, Fiction historique, Mœurs, Coutumes"
Victor Hugo,Notre-Dame de Paris,1831,"Décadence, Contes, Romans, Fiction historique"
Victor Hugo,Les Misérables,1800,"Décadence, Romans, Coutumes"
Victor Hugo,Quatrevingt-treize,1800,"Décadence, Fiction historique"
Victor Hugo,Hernani,1830,"Décadence, Drame"
Victor Hugo,Ruy Blas,1838,Décadence
Alexandre Dumas,Le Comte de Monte Cristo,1830,Décadence
Alexandre Dumas,Les Trois Mousquetaires,1844,"Contes, Fiction historique, Décadence, Romans, Société et politique, Voyages"
Alexandre Dumas,Le roman du masque de fer,1600,"Décadence, Contes, Fiction historique, Voyages"
Alexandre Dumas,Vingt ans apres̀,1800,"Décadence, Fiction historique, Voyages"
Alexandre Dumas,La dame aux camélias [novel],1848,"Drame, Coutumes, Décadence, Passion, Voyages"
Gustave Flaubert,Madame Bovary,1857,"Décadence, Romans, Coutumes"
Gustave Flaubert,L'Éducation sentimentale,1898,"Fiction historique, Coutumes, Décadence, Passion, Romans, Société et politique"
Gustave Flaubert,Salammbô,1863,"Décadence, Fiction historique"
Gustave Flaubert,Trois contes,1877,"Décadence, Coutumes"
Gustave Flaubert,Bouvard et Pécuchet,1896,"Critique, Décadence"
Émile Zola,Germinal,1885,"Décadence, Société et politique"
Émile Zola,Nana,1880,"Éducation, Coutumes, Décadence, Passion, Romans, Société et politique"
Émile Zola,Assommoir,1870,Décadence
Émile Zola,La terre,1887,"Société et politique, Décadence, Fiction historique, Nature et environnement"
Émile Zola,Au bonheur des dames,1883,Décadence
Stendhal,Le rouge et le noir,1800,"Critique, Décadence, Romans, Coutumes"
Stendhal,"Chartreuse de Parme, La",1800,"Fiction historique, Coutumes, Critique, Décadence, Passion, Société et politique"
Stendhal,De l'amour,1800,Décadence
Stendhal,Lucien Louvain,1894,"Décadence, Passion, Pouvoir"
Stendhal,"Rome, Naples et Florence",1818,Coutumes
Alfred de Musset,"Gamiani, ou deux nuits d'excès",1800,Décadence
George Sand,L'étang du diable,1846,Romans
George Sand,Correspondance entre George Sand et Gustave Flaubert,1884,Biographie
George Sand,Indiana,1832,"Décadence, Passion, Contes"
George Sand,Histoire de ma vie,1854,"Décadence, Biographie"
Jules Verne,Voyage au Centre de la Terre,1867,"Fantastique, Contes, Épouvante, Décadence, Voyages"
