Author,Title,Year,Themes
Madeleine de Scudéry,Artamène,1691,"Court and courtiers, Fiction, Social conditions, Social life and customs, Women, Fiction, general, France, fiction"
Paul Scarron,Svr la conference de Rvel en mars,1649,"Fronde, Poetry, History, France. 1649 March 11, France"
Jean de La Fontaine,Fables,1678,"French Fables, Translations into English, Fables, Oversize books, Illustrations, Adaptations, Translations into Malagasy, Specimens, Aesop's fables, English Fables, French language, Translations into French Creole, Readers, Poetry, French language materials, Translations into Yiddish, Juvenile literature, Translations from French, Translations into Arabic, Translations into Esperanto, Translations into Occitan, Toy and movable books, Dialects, Latin language, Yiddish Fables, Translations into Italian, Translations, Translations into Vietnamese, Translations into German, Russian Fables, Animals, Fábulas, La Fontaine, Jean de, 1621-1695. Fables, Monaco, Fábulas francesas, Rats, Accessible book, Fables françaises, Traductions anglaises, Protected DAISY, In library, Fiction, OverDrive, Children's fiction, Fiction, general, Translations into Creole, Short stories, French literature"
Jean de La Fontaine,Contes et nouvelles en vers,1685,"Translations into English, Translations into Occitan, French Fables, French language, Bookbinding, French literature, Bawdy poetry, French Bawdy poetry, Dialects, Monaco, Examples, Fiction, Juvenile Literature, French literature, translations into english, La fontaine, jean de, 1621-1695, French poetry, translations into english, Fables, Poetry (poetic works by one author)"
Charles Sorel,De la connoissance des bons livres,1671,"French language, French literature, History, History and criticism, Literature"
Marie-Catherine d'Aulnoy,Relation du voyage d'Espagne,1691,"Early works to 1800, Description and travel, Voyages, imaginary, Spain, history, Spain, social life and customs, Imaginary Voyages, History, Social life and customs, Voyages imaginaires, Histoire, Mœurs et coutumes, TRAVEL / Europe / Western, REFERENCE / General, Manners and customs, Spain & Portugal, Regions & Countries - Europe, History & Archaeology"
Marie-Catherine d'Aulnoy,The Prince of Carency,1719,"Fiction, Princes, Fiction, biographical, France, fiction, Fiction, historical, general"
Montesquieu,De l'esprit des lois,1748,"Derecho, Filosofía, Jurisprudence, great_books_of_the_western_world, Ciencias políticas, State, The, Jurisprudencía, Philosophy, The State, État, Political science, Law, Estado, Philosophie, Evolution, Law (Philosophy), Science politique, Early works to 1800, Droit, State, The. 0, Nationalism, Law, philosophy, Law, history, Philosophy, modern, Sciences Politiques, Ouvrages avant 1800, Law--philosophy, Jc179 .m74 1989, 320, Political science--early works to 1800, State, the--early works to 1800, Law--philosophy--early works to 1800, Jc179 .m74513 2002"
Montesquieu,Lettres persanes,1721,"Fiction, Iranians, East and West, Social life and customs, French language edition, Eighteenth century, French language books, History, Classic Literature, Montesquieu, Charles de Secondat, baron de, 1689-1755. Lettres Persanes, French Satire, French literature, Epistolary fiction, history and criticism, Iran, history, Manuel, Letters, Fiction, general, Europe, fiction, Travelers, Iranians--france--fiction, Travelers--fiction, Letters--fiction, Pq2011.l5 e57 2008, 843/.5, Montesquieu, charles de secondat, baron de, 1689-1755, Voyages, imaginary"
Montesquieu,"The spirit of laws, including d'Alembert's analysis of the work",1900,"Jurisprudence, Philosophy, Law, Political science, The State"
Montesquieu,A view of the English constitution,1781,"Constitutional law, Ouvrages avant 1800, Science politique, Philosophy, Early works to 1800, Droit, Political science, Law, Philosophie"
Voltaire,Candide,1746,"Conduct of life, Readers, Literatura francesa, Satire, Fiction, Civilization, Moral conditions, Enlightenment, Politics and government, Life, French language, Philosophy, French fiction, Ethics, Classic Literature, Imaginary letters, Personal conduct, Open Library Staff Picks, Translations into Chinese, open_syllabus_project, Lifestyles, Modern Philosophy, Translations into English, Candide, French literature, Early works to 1800, French Satire, French language materials, Optimism, Histoire, History, Continental european fiction (fictional works by one author), Fiction, general, Large type books, Adventure stories, Dictionaries, English language, Chinese, German, Korean, Inquisition, Romance literature, Fiction, satire, Nonfiction, Spanish, Philosophy, Modern -- 18th century, Critique et interprétation, Criticism and interpretation, Candide (Voltaire), Fiction, humorous, Bildungsromans, Littérature française, Romans, nouvelles, Roman français, Humor, Voltaire, 1694-1778, French language, readers, Fiction, humorous, general, Great britain, fiction, Fiction, historical, general, Wit and humor, Literature, Teachers, Library, Personal copy, Picaresque literature, French literature, history and criticism, Fiction, historical, German Picaresque literature, Civilisation, Roman picaresque allemand, Siècle des Lumières, History and criticism, Histoire et critique, Vida, Novela, Optimismo, Classics, Literary, Humor, topic, politics, Happiness, Illustraties, Frans, Bright's disease, Edema, Study guides, Examinations, Humor, general, Social life and customs, Pen drawing, Facsimiles, Swiss Drawing, Photoengraving, Specimens, Mœurs et coutumes, Humour, Dessin à la plume, Fac-similés, Dessin suisse, Photogravure, Spécimens, Manners and customs"
Voltaire,Lettres philosophiques,1733,"Voyages, History and criticism, Religions, Intellectual life, English literature, Grande-Bretagne, Histoire et critique, Religion, Early works to 1800, Civilization, Intellectual life., French Erotic literature, Open Library Staff Picks, Vie intellectuelle, Great Britain, Littérature anglaise, Imaginary letters, Modern Philosophy, Philosophy, Modern -- 18th century, Travel, Litterature anglaise, Sozialphilosophie, Philosophy, modern, 18th century, Great britain, civilization, Voltaire, 1694-1778, Philosophy, french, English literature, history and criticism, 18th century, Great britain, religion, Great britain, intellectual life, Philosophy, modern, Philosophy, modern--18th century, Pq2086.l4 e5 1999, Pq2086.l4 e5 2007, 848/.509"
Voltaire,Dictionnaire philosophique,1766,"Philosophy, Dictionaries, French, German, Philosophy, dictionaries, 18th century french philosophy, Philosophy - reference, Philosophy - general & miscellaneous, Reference - general & miscellaneous, European fiction & literature classics, Classics by subject, History of philosophy, Literary styles & movements - fiction"
Voltaire,"Dictionnaire philosophique, portatif",1764,"Philosophy, Dictionaries, French, Portraits, Encyclopédies et dictionnaires, Early works to 1800, Philosophie"
