Author,Title,Year,Themes,Author_Cleaned,Description,Index
Alexandre Dumas                                              ,Pauline,1830,Décadence,Alexandre Dumas,"Pauline, by Alexandre Dumas                                              
 [Subtitle: Pascal Bruno]
 [Language: French]",71510
Alexandre Dumas                 ,Les trois mousquetaires,1830,Décadence,Alexandre Dumas,"Les trois mousquetaires, Vol. 2 of 2, by Alexandre Dumas                 
 [Illustrator: Maurice Leloir]
 [Language: French]",58211
Alexandre Dumas                                      ,Gabriel Lambert,1830,Décadence,Alexandre Dumas,"Gabriel Lambert, by Alexandre Dumas                                      
 [Language: French]",46747
Alexandre Dumas                                    ,Le comte de Moret,1830,Décadence,Alexandre Dumas,"Le comte de Moret, by Alexandre Dumas                                    
 [Language: French]",37771
Alexandre Dumas                                      ,La tulipe noire,1830,Décadence,Alexandre Dumas,"La tulipe noire, by Alexandre Dumas                                      
 [Language: French]",26504
Alexandre Dumas                               ,Creation et redemption,1830,Décadence,Alexandre Dumas,"Creation et redemption, by Alexandre Dumas                               
 [Subtitle: Deuxieme partie: La fille du marquis]
 [Language: French]",26476
Alexandre Dumas                                ,Le capitaine Pamphile,1830,Décadence,Alexandre Dumas,"Le capitaine Pamphile, by Alexandre Dumas                                
 [Language: French]",18697
Alexandre Dumas                                                 ,Acte,1830,Décadence,Alexandre Dumas,"Acte, by Alexandre Dumas                                                 
 [Language: French]",18321
"Alexandre Dumas, Pere                      ",La reine Margot,1894,"Décadence, Fiction historique","Alexandre Dumas, Pere","La reine Margot - Tome II, by Alexandre Dumas, Pere                      
 [Language: French]",13857
"Alexandre Dumas, Pere                           ",Henri III et sa Cour,1894,"Décadence, Fiction historique","Alexandre Dumas, Pere","Henri III et sa Cour, by Alexandre Dumas, Pere                           
 [Language: French]",2682
"Alexandre Dumas, Pere                                ",La Tulipe Noire,1894,"Décadence, Fiction historique","Alexandre Dumas, Pere","La Tulipe Noire, by Alexandre Dumas, Pere                                
 [Language: French]",1910
Alphonse Daudet                                      ,Contes de lundi,1869,Décadence,Alphonse Daudet,"Contes de lundi, by Alphonse Daudet                                      
 [Language: French]",50154
Alphonse Daudet                                        ,Port-Tarascon,1869,Décadence,Alphonse Daudet,"Port-Tarascon, by Alphonse Daudet                                        
 [Subtitle: Dernières aventures de l'illustre Tartarin]
 [Language: French]",15645
Alphonse Daudet                                                ,Sapho,1869,Décadence,Alphonse Daudet,"Sapho, by Alphonse Daudet                                                
 [Language: French]",13825
Alphonse Daudet                                       ,Le petit chose,1869,Décadence,Alphonse Daudet,"Le Petit Chose, part 1, by Alphonse Daudet                               
 [Subtitle: Histoire d'un Enfant]",27737
Alphonse Daudet                                    ,Le nabab,1869,Décadence,Alphonse Daudet,"Le nabab, tome II, by Alphonse Daudet                                    
 [Language: French]",12727
Alphonse Daudet                                 ,Tartarin de Tarascon,1869,Décadence,Alphonse Daudet,"Tartarin de Tarascon, by Alphonse Daudet                                 
 [Language: French]",10687
Alphonse Daudet                                ,Tartarin sur les Alpes,1869,Décadence,Alphonse Daudet,"Tartarin sur les Alpes, by Alphonse Daudet                                
 [Language: French]",5105
Edmond de Goncourt                   ,La femme au dix-huitième siècle,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie",Edmond de Goncourt,"La femme au dix-huitième siècle, by Edmond de Goncourt                   
 and Jules de Goncourt
 [Language: French]",46142
Edmond de Goncourt                                    ,La fille Elisa,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie",Edmond de Goncourt,"La fille Elisa, by Edmond de Goncourt                                    
 [Language: French]",30317
Edmond de Goncourt                                          ,Hokousai,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie",Edmond de Goncourt,"Hokousai, by Edmond de Goncourt                                          
 [Subtitle: L'art japonais au XVII SiŠcle]
 [Language: French]",18724
Eugène Sue,"Atar-Gull, Un Corsaire, Le Parisien en Mer, Voyages et                   
 Aventures sur Mer de Narcisse Gelin",1844,"Décadence, Arts et Culture",Eugène Sue,"Atar-Gull, Un Corsaire, Le Parisien en Mer, Voyages et                   
 Aventures sur Mer de Narcisse Gelin, by Eugène Sue
 [Subtitle: romans maritimes]
 [Language: French]",30582
Eugène Sue                           ,Les mystères du peuple,1844,"Décadence, Arts et Culture",Eugène Sue,"Les mystères du peuple, Tome III by Eugène Sue                           
 [Subtitle: Histoire d'une famille de prolétaires à travers les âges]
 [Language: French]",29094
