Description,Index
"La Comédie humaine, Vol. 17, Études de mœurs, by Honoré de Balzac        
 [Subtitle: La cousine Bette -- Le cousin Pons]
 [Language: French]",74126
"Œuvres complètes de Guy de Maupassant - volume 25, by Guy de Maupassant  
 [Language: French]",73633
"La Comédie humaine, Volume 16, Études philosophiques et Études           
 analytiques, by Honoré de Balzac
 [Language: French]",73552
"Œuvres complètes de Victor Hugo, by Victor Hugo                          
 [Subtitle: Poésie VII]
 [Illustrator: François Flameng]
 [Language: French]",72885
"La Comédie humaine, Volume XV, Études philosophiques,                    
 by Honoré de Balzac
 [Language: French]",72034
"La Comédie humaine - Volume XIV, by Honoré de Balzac                     
 [Subtitle: Études philosophiques]
 [Language: French]",71773
"Pauline, by Alexandre Dumas                                              
 [Subtitle: Pascal Bruno]
 [Language: French]",71510
"Œuvres complètes de Victor Hugo - volume 21, by Victor Hugo              
 [Subtitle: Notre-Dame de Paris - Tome 2]
 [Illustrator: Fran?ois Flameng]
 [Language: French]",71445
"Œuvres complètes de Guy de Maupassant, Vol. 24, by Guy de Maupassant     
 [Language: French]",71331
"Œuvres complètes de Guy de Maupassant, volume 23, by Guy de Maupassant   
 [Language: French]",71299
"Œuvres complètes de Guy de Maupassant, Volume 22                         
 [Language: French]",71172
"Constantinople, by Théophile Gautier                                     
 [Language: French]",71059
"La Comédie humaine, Volume 13, by Honoré de Balzac                       
 [Subtitle: Scenes de la vie militaire et Scènes de la vie de campagne]
 [Language: French]",71022
"Clerambault, by Romain Rolland                                           
 [Subtitle: Histoire d'une concience libre pendant la guerre]
 [Language: French]",70956
"Œuvres complètes de Victor Hugo - Volume 20, by Victor Hugo              
 [Subtitle: Notre-Dame de Paris - Tome 1]
 [Illustrator: Fran?ois Flameng]
 [Language: French]",70891
"Œuvres complètes de Gustave Flaubert, tome 8,                            
 [Language: French]",70260
"L'Anglais mangeur d'opium, by Thomas de Quincey                          
 [Subtitle: Traduit de l'Anglais et augment? par Alfred de Musset,
  avec une notice par M. Arthur Heulhard]
 [Language: French]",69802
"Œuvres de Voltaire Tome XX, by Voltaire and A. J. Q. Beuchot             
 [Subtitle: Siècle de Louis XIV, Tome II]
 [Language: French]",69631
"Les dames vertes, by George Sand                                         
 [Subtitle: OEuvres de George Sand]
 [Language: French]",69098
"Oeuvres de Voltaire Tome XIX, by Voltaire                                
 [Subtitle: Siècle de Louis XIV, Tome I]
 [Language: French]",68355
"Œuvres complètes de Guy de Maupassant - volume 21, by Guy de Maupassant  
 [Language: French]",68271
"Œuvres complètes de Guy de Maupassant, Vol. 20 of 29,                    
 by Guy de Maupassant
 [Language: French]",68036
"Œuvres complètes de Guy de Maupassant, Volume 19, by Guy de Maupassant   
 [Language: French]",67940
"La Comédie humaine, Vol. 12, Scènes de la vie parisienne et scènes       
 de la vie politique, by Honoré de Balzac
 [Language: French]",67264
"Mahatma Gandhi, by Romain Rolland                                        
 [Language: French]",67205
"Oeuvres complètes de Guy de Maupassant, by Guy de Maupassant             
 [Language: French]",67158
"Œuvres complètes de Guy de Maupassant - volume 17, by Guy de Maupass     
 [Language: French]",67074
"Œuvres complètes de Guy de Maupassant, by Guy de Maupassant              
 [Language: French]",67024
